2026-07-29 21:41:46,146 | INFO | ticker=FPT | source=cafef | accepted | score=10.0 | url=https://cafef.vn/gia-vang-len-114-trieu-dong-luong-hoi-han-vi-lo-ban-5-luong-vang-bo-me-gui-de-du-dinh-co-phieu-fpt-188250416150552132.chn
2026-07-29 21:41:50,268 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-bat-ngo-giam-san-fpt-telecom-nguoc-dong-tang-manh-188250416145047196.chn
2026-07-29 21:41:53,175 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/quy-ngoai-lon-nhat-viet-nam-noi-gi-ve-co-phieu-fpt-188250403161515321.chn
2026-07-29 21:41:56,103 | INFO | ticker=FPT | source=cafef | accepted | score=7.0 | url=https://cafef.vn/co-phieu-fpt-mwg-pnj-mat-phong-do-bo-chi-so-kim-cuong-thua-xa-vn-index-188250330220408206.chn
2026-07-29 21:42:00,786 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-vua-tai-sinh-cong-ty-chung-khoan-bat-ngo-chi-ra-lo-ngai-18825032410192885.chn
2026-07-29 21:42:03,767 | INFO | ticker=FPT | source=cafef | accepted | score=14.0 | url=https://cafef.vn/khoi-ngoai-ban-rong-co-phieu-fpt-hon-6000-ty-dong-dau-ai-chung-tinh-duoc-mai-188250323231602919.chn
2026-07-29 21:42:08,484 | INFO | ticker=FPT | source=cafef | accepted | score=9.0 | url=https://cafef.vn/tu-dau-nam-mat-hang-nay-dang-giam-manh-hon-ca-co-phieu-fpt-chinh-la-loai-nguyen-lieu-viet-nam-duoc-danh-gia-co-chat-luong-cao-nhat-the-gioi-188250320094637202.chn
2026-07-29 21:42:11,971 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/chuyen-gi-dang-xay-ra-voi-co-phieu-fpt-188250319225325728.chn
2026-07-29 21:42:15,457 | INFO | ticker=FPT | source=cafef | accepted | score=6.0 | url=https://cafef.vn/chung-khoan-ngay-mai-19-3-vi-sao-co-phieu-fpt-lao-doc-188250318210854194.chn
2026-07-29 21:42:20,006 | INFO | ticker=FPT | source=cafef | accepted | score=12.0 | url=https://cafef.vn/lan-dau-tien-co-ndt-ngoai-mua-26600-co-phieu-fpt-nhung-chua-thanh-toan-khien-vietcap-phai-tra-thay-failed-trade-cua-ttck-noi-len-dieu-gi-188241227235521648.chn
2026-07-29 21:42:23,079 | INFO | ticker=FPT | source=cafef | accepted | score=7.0 | url=https://cafef.vn/nhom-co-phieu-fpt-va-viettel-but-pha-manh-me-cung-trend-cong-nghe-toan-cau-188241217114212026.chn
2026-07-29 21:42:30,188 | INFO | ticker=FPT | source=cafef | accepted | score=7.0 | url=https://cafef.vn/vn-index-mat-moc-1250-diem-nguoc-dong-loat-co-phieu-fpt-bvh-lpb-bay-cao-lap-dinh-gia-moi-188241203170149706.chn
2026-07-29 21:42:34,004 | INFO | ticker=FPT | source=cafef | accepted | score=7.0 | url=https://cafef.vn/thi-truong-can-thanh-khoan-co-phieu-fpt-gong-chi-so-vn-index-18824112716071948.chn
