time,open,high,low,close,volume
2026-04-13,59.01,59.01,58.51,58.71,5105429
2026-04-14,59.2,59.3,58.61,58.81,5561334
2026-04-15,59.2,60.0,59.11,59.4,8933225
2026-04-16,59.5,59.6,58.81,58.91,4184138
2026-04-17,58.91,59.4,58.91,59.01,4265679
2026-04-20,59.11,60.0,59.01,59.6,6454430
2026-04-21,59.9,60.1,59.11,59.11,6397484
2026-04-22,59.11,59.3,58.71,58.91,3021615
2026-04-23,59.2,62.97,59.11,62.28,35254225
2026-04-24,62.48,62.48,60.1,60.1,11904384
2026-04-28,60.3,60.99,59.3,59.3,7620204
2026-04-29,59.4,60.0,59.01,59.3,6441320
2026-05-04,60.0,60.69,59.5,60.2,7520808
2026-05-05,60.1,60.2,59.2,59.4,6422269
2026-05-06,59.7,60.0,59.2,60.0,5818608
2026-05-07,60.39,60.59,59.8,59.8,6068759
2026-05-08,60.0,61.19,59.8,60.2,9986323
2026-05-11,60.49,60.59,59.7,59.8,5527620
2026-05-12,59.8,60.0,59.01,59.4,6564760
2026-05-13,59.2,60.79,58.71,59.6,8887074
2026-05-14,60.0,60.99,59.5,60.49,5624909
2026-05-15,60.79,61.19,60.2,60.2,8289157
2026-05-18,60.2,62.97,59.8,62.68,18908687
2026-05-19,62.87,64.46,62.08,63.87,24270180
2026-05-20,63.17,64.16,61.29,64.06,14409112
2026-05-21,64.06,65.65,63.27,64.36,20150539
2026-05-22,64.36,64.36,62.77,62.97,8133458
2026-05-25,62.68,63.47,61.58,63.17,5426681
2026-05-26,62.77,63.87,62.77,63.87,5635102
2026-05-27,63.87,63.96,63.27,63.67,4195389
2026-05-28,63.67,63.67,62.28,62.28,4982154
2026-05-29,62.48,62.48,61.29,61.49,5832613
2026-06-01,61.78,62.28,61.19,61.68,2933651
2026-06-02,61.78,62.18,61.09,61.09,5075897
2026-06-03,61.19,61.98,60.89,61.39,4438645
2026-06-04,61.29,61.98,61.19,61.68,3922125
2026-06-05,61.88,61.98,61.09,61.19,4018358
2026-06-08,60.69,61.58,60.39,60.79,7367894
2026-06-09,60.79,61.19,60.49,60.99,2572520
2026-06-10,61.09,61.68,61.09,61.19,2315852
2026-06-11,60.99,61.39,60.79,61.09,2596509
2026-06-12,61.39,61.58,61.09,61.09,3158083
2026-06-15,61.78,61.88,61.09,61.09,5229192
2026-06-16,61.29,61.78,61.09,61.29,3116285
2026-06-17,61.29,61.88,61.09,61.68,6835284
2026-06-18,61.78,61.88,61.09,61.09,4662693
2026-06-19,61.39,61.39,60.69,61.19,4876403
2026-06-22,61.19,61.29,60.69,60.79,2694176
2026-06-23,61.19,62.08,60.79,60.79,5186868
2026-06-24,60.89,61.09,60.49,60.49,2549836
2026-06-25,60.59,60.79,60.3,60.3,3102247
2026-06-26,60.49,60.99,60.3,60.89,3352870
2026-06-29,61.09,61.68,60.89,61.49,5490215
2026-06-30,61.68,62.08,61.39,61.68,4630222
2026-07-01,61.88,62.48,61.58,62.48,4242742
